Millis,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z
2276745,1.00,0.00,-0.00,0.00,0.63,-9.73,-1.11
2276778,1.00,0.01,-0.01,0.00,0.64,-9.83,-1.04
2276810,1.00,0.01,-0.01,0.00,0.66,-9.86,-0.92
2276843,1.00,0.02,-0.01,0.00,0.74,-9.71,-0.87
2276876,1.00,0.02,-0.01,-0.00,0.68,-9.98,-0.86
2276909,1.00,0.02,-0.01,-0.00,0.80,-9.88,-0.87
2276942,1.00,0.02,-0.01,-0.01,0.76,-9.71,-0.89
2276975,1.00,0.02,-0.02,-0.01,0.75,-10.03,-0.91
2277008,1.00,0.03,-0.02,-0.02,1.01,-9.85,-0.90
2277041,1.00,0.03,-0.02,-0.02,1.12,-9.72,-1.00
2277074,1.00,0.03,-0.02,-0.03,1.36,-9.95,-1.01
2277107,1.00,0.03,-0.02,-0.04,1.38,-9.96,-1.10
2277140,1.00,0.03,-0.02,-0.04,1.36,-9.63,-1.19
2277173,1.00,0.03,-0.02,-0.05,1.33,-9.94,-1.22
2277206,1.00,0.03,-0.02,-0.05,1.54,-9.75,-1.14
2277239,1.00,0.03,-0.02,-0.05,1.75,-9.82,-1.11
2277271,1.00,0.03,-0.02,-0.05,1.73,-9.88,-1.22
2277303,1.00,0.03,-0.02,-0.06,1.90,-9.72,-1.25
2277336,1.00,0.03,-0.02,-0.06,1.95,-10.17,-1.30
2277369,1.00,0.03,-0.02,-0.06,2.40,-9.89,-1.24
2277402,1.00,0.03,-0.02,-0.06,2.50,-9.72,-1.20
2277435,1.00,0.03,-0.02,-0.06,2.50,-9.69,-1.13
2277468,1.00,0.03,-0.02,-0.06,2.57,-9.61,-1.04
2277501,1.00,0.03,-0.03,-0.07,2.55,-9.55,-0.97
2277533,1.00,0.03,-0.03,-0.07,2.12,-9.46,-1.13
2277565,1.00,0.03,-0.03,-0.07,1.69,-9.52,-1.29
2277598,1.00,0.03,-0.03,-0.07,1.60,-9.93,-1.33
2277631,1.00,0.03,-0.04,-0.06,1.61,-9.91,-1.37
2277664,1.00,0.03,-0.04,-0.06,2.08,-9.94,-1.40
2277697,1.00,0.03,-0.04,-0.06,2.23,-9.94,-1.42
2277730,1.00,0.03,-0.04,-0.05,2.27,-9.83,-1.43
2277763,1.00,0.03,-0.04,-0.05,2.36,-9.88,-1.29
2277795,1.00,0.03,-0.04,-0.05,2.45,-9.77,-1.17
2277827,1.00,0.04,-0.04,-0.05,2.66,-9.56,-1.11
2277859,1.00,0.04,-0.05,-0.05,2.57,-9.67,-1.12
2277892,1.00,0.04,-0.05,-0.04,2.57,-9.61,-1.08
