Line,Milis,Type,Side,W,X,Y,Z,,,,,,,,,,,,,,,,,
695,15905,DATA,L,1,0,0,0,,,,,,,,,,,,,,,,,
695,15918,DATA,R,0.97,-0.14,0.02,-0.22,,,,,,,,,,,,,,,,,
695,15930,DATA,L,1,0,0,0,,,,,,,,,,,,,,,,,
695,15950,DATA,R,0.97,-0.14,0.02,-0.22,,,,,,,,,,,,,,,,,
695,15970,DATA,L,1,0,0,0,,,,,,,,,,,,,,,,,
695,15989,DATA,R,0.97,-0.14,0.02,-0.22,,,,,,,,,,,,,,,,,
695,16011,DATA,L,1,0,0,0,,,,,,,,,,,,,,,,,
695,16030,DATA,R,0.97,-0.14,0.02,-0.22,,,,,,,,,,,,,,,,,
695,16050,DATA,L,1,0,0,0,,,,,,,,,,,,,,,,,
695,16070,DATA,R,0.97,-0.14,0.02,-0.22,,,,,,,,,,,,,,,,,
695,16090,DATA,L,1,-0.01,0,0,,,,,,,,,,,,,,,,,
695,16109,DATA,R,0.97,-0.14,0.02,-0.22,,,,,,,,,,,,,,,,,
695,16130,DATA,L,1,-0.01,0,0,,,,,,,,,,,,,,,,,
695,16149,DATA,R,0.97,-0.14,0.02,-0.22,,,,,,,,,,,,,,,,,
695,16170,DATA,L,1,-0.01,0,0,,,,,,,,,,,,,,,,,
695,16189,DATA,R,0.97,-0.14,0.02,-0.22,,,,,,,,,,,,,,,,,
695,16210,DATA,L,1,-0.01,0,0,,,,,,,,,,,,,,,,,
695,16229,DATA,R,0.97,-0.14,0.02,-0.22,,,,,,,,,,,,,,,,,
695,16250,DATA,L,1,-0.01,0,0,,,,,,,,,,,,,,,,,
695,16270,DATA,R,0.97,-0.14,0.02,-0.22,,,,,,,,,,,,,,,,,
695,16290,DATA,L,1,-0.01,0,0,,,,,,,,,,,,,,,,,
695,16310,DATA,R,0.97,-0.14,0.02,-0.22,,,,,,,,,,,,,,,,,
695,16330,DATA,L,1,-0.01,0,0,,,,,,,,,,,,,,,,,
695,16350,DATA,R,0.97,-0.14,0.02,-0.22,,,,,,,,,,,,,,,,,
695,16370,DATA,L,1,-0.02,0,0,,,,,,,,,,,,,,,,,
695,16389,DATA,R,0.97,-0.14,0.02,-0.22,,,,,,,,,,,,,,,,,
695,16410,DATA,L,1,-0.02,0,0,,,,,,,,,,,,,,,,,
695,16430,DATA,R,0.97,-0.13,0.02,-0.22,,,,,,,,,,,,,,,,,
695,16450,DATA,L,1,-0.02,0,0,,,,,,,,,,,,,,,,,
695,16469,DATA,R,0.97,-0.13,0.02,-0.22,,,,,,,,,,,,,,,,,
695,16490,DATA,L,1,-0.02,0,0,,,,,,,,,,,,,,,,,
695,16510,DATA,R,0.97,-0.13,0.02,-0.22,,,,,,,,,,,,,,,,,
695,16530,DATA,L,1,-0.02,0,0,,,,,,,,,,,,,,,,,
695,16549,DATA,R,0.97,-0.13,0.02,-0.22,,,,,,,,,,,,,,,,,
695,16570,DATA,L,1,-0.02,-0.01,0,,,,,,,,,,,,,,,,,
695,16589,DATA,R,0.97,-0.13,0.02,-0.21,,,,,,,,,,,,,,,,,
695,16610,DATA,L,1,-0.02,-0.01,0,,,,,,,,,,,,,,,,,
695,16629,DATA,R,0.97,-0.13,0.02,-0.21,,,,,,,,,,,,,,,,,
695,16650,DATA,L,1,-0.03,-0.01,0.01,,,,,,,,,,,,,,,,,
695,16669,DATA,R,0.97,-0.13,0.02,-0.21,,,,,,,,,,,,,,,,,
695,16690,DATA,L,1,-0.03,-0.01,0.01,,,,,,,,,,,,,,,,,
695,16709,DATA,R,0.97,-0.13,0.02,-0.21,,,,,,,,,,,,,,,,,
695,16730,DATA,L,1,-0.03,-0.01,0.01,,,,,,,,,,,,,,,,,
695,16749,DATA,R,0.97,-0.13,0.02,-0.21,,,,,,,,,,,,,,,,,
695,16770,DATA,L,1,-0.03,-0.01,0.01,,,,,,,,,,,,,,,,,
695,16789,DATA,R,0.97,-0.13,0.02,-0.21,,,,,,,,,,,,,,,,,
695,16810,DATA,L,1,-0.04,-0.01,0.01,,,,,,,,,,,,,,,,,
695,16829,DATA,R,0.97,-0.12,0.02,-0.21,,,,,,,,,,,,,,,,,
695,16850,DATA,L,1,-0.04,-0.01,0.01,,,,,,,,,,,,,,,,,
695,16869,DATA,R,0.97,-0.12,0.02,-0.21,,,,,,,,,,,,,,,,,
695,16890,DATA,L,1,-0.04,-0.01,0.01,,,,,,,,,,,,,,,,,
695,16909,DATA,R,0.97,-0.12,0.02,-0.21,,,,,,,,,,,,,,,,,
695,16930,DATA,L,1,-0.04,-0.01,0,,,,,,,,,,,,,,,,,
695,16949,DATA,R,0.97,-0.12,0.02,-0.21,,,,,,,,,,,,,,,,,
695,16970,DATA,L,1,-0.04,-0.01,0,,,,,,,,,,,,,,,,,
695,16989,DATA,R,0.97,-0.12,0.01,-0.22,,,,,,,,,,,,,,,,,
695,17011,DATA,L,1,-0.05,-0.01,0,,,,,,,,,,,,,,,,,
695,17029,DATA,R,0.97,-0.12,0.01,-0.22,,,,,,,,,,,,,,,,,
695,17051,DATA,L,1,-0.05,-0.01,0,,,,,,,,,,,,,,,,,
695,17069,DATA,R,0.97,-0.12,0.01,-0.22,,,,,,,,,,,,,,,,,
695,17091,DATA,L,1,-0.05,-0.01,0,,,,,,,,,,,,,,,,,
695,17109,DATA,R,0.97,-0.12,0.01,-0.22,,,,,,,,,,,,,,,,,
695,17131,DATA,L,1,-0.05,-0.01,0,,,,,,,,,,,,,,,,,
695,17149,DATA,R,0.97,-0.12,0.01,-0.22,,,,,,,,,,,,,,,,,
695,17171,DATA,L,1,-0.05,-0.01,0,,,,,,,,,,,,,,,,,
695,17189,DATA,R,0.97,-0.12,0.01,-0.22,,,,,,,,,,,,,,,,,
695,17210,DATA,L,1,-0.05,-0.01,0,,,,,,,,,,,,,,,,,
695,17229,DATA,R,0.97,-0.12,0.01,-0.22,,,,,,,,,,,,,,,,,
695,17251,DATA,L,1,-0.05,-0.01,0,,,,,,,,,,,,,,,,,
695,17269,DATA,R,0.97,-0.12,0.01,-0.22,,,,,,,,,,,,,,,,,
695,17291,DATA,L,1,-0.06,-0.01,0,,,,,,,,,,,,,,,,,
695,17309,DATA,R,0.97,-0.12,0.01,-0.22,,,,,,,,,,,,,,,,,
695,17331,DATA,L,1,-0.06,-0.01,0,,,,,,,,,,,,,,,,,
695,17349,DATA,R,0.97,-0.12,0.01,-0.22,,,,,,,,,,,,,,,,,
695,17371,DATA,L,1,-0.06,-0.01,0,,,,,,,,,,,,,,,,,
695,17389,DATA,R,0.97,-0.12,0.01,-0.22,,,,,,,,,,,,,,,,,
695,17411,DATA,L,1,-0.06,-0.01,0,,,,,,,,,,,,,,,,,
695,17429,DATA,R,0.97,-0.12,0.01,-0.22,,,,,,,,,,,,,,,,,
695,17451,DATA,L,1,-0.06,-0.01,0,,,,,,,,,,,,,,,,,
695,17469,DATA,R,0.97,-0.12,0.02,-0.22,,,,,,,,,,,,,,,,,
695,17491,DATA,L,1,-0.06,-0.01,0,,,,,,,,,,,,,,,,,
695,17509,DATA,R,0.97,-0.12,0.02,-0.22,,,,,,,,,,,,,,,,,
695,17531,DATA,L,1,-0.06,-0.01,0,,,,,,,,,,,,,,,,,
695,17549,DATA,R,0.97,-0.12,0.02,-0.22,,,,,,,,,,,,,,,,,
695,17571,DATA,L,1,-0.06,-0.01,0,,,,,,,,,,,,,,,,,
695,17589,DATA,R,0.97,-0.12,0.02,-0.22,,,,,,,,,,,,,,,,,
695,17611,DATA,L,1,-0.06,-0.01,0,,,,,,,,,,,,,,,,,
695,17628,DATA,R,0.97,-0.12,0.02,-0.22,,,,,,,,,,,,,,,,,
695,17651,DATA,L,1,-0.06,-0.01,0,,,,,,,,,,,,,,,,,
695,17668,DATA,R,0.97,-0.12,0.02,-0.22,,,,,,,,,,,,,,,,,
695,17691,DATA,L,1,-0.06,-0.01,0,,,,,,,,,,,,,,,,,
695,17708,DATA,R,0.97,-0.12,0.02,-0.22,,,,,,,,,,,,,,,,,
695,17731,DATA,L,1,-0.07,-0.01,0,,,,,,,,,,,,,,,,,
695,17748,DATA,R,0.97,-0.11,0.02,-0.22,,,,,,,,,,,,,,,,,
695,17771,DATA,L,1,-0.07,-0.01,0,,,,,,,,,,,,,,,,,
695,17788,DATA,R,0.97,-0.11,0.02,-0.22,,,,,,,,,,,,,,,,,
695,17811,DATA,L,1,-0.07,-0.01,0,,,,,,,,,,,,,,,,,
695,17829,DATA,R,0.97,-0.11,0.02,-0.22,,,,,,,,,,,,,,,,,
695,17851,DATA,L,1,-0.07,-0.01,0,,,,,,,,,,,,,,,,,
695,17869,DATA,R,0.97,-0.12,0.02,-0.22,,,,,,,,,,,,,,,,,
695,17891,DATA,L,1,-0.07,-0.01,0,,,,,,,,,,,,,,,,,
695,17909,DATA,R,0.97,-0.12,0.02,-0.21,,,,,,,,,,,,,,,,,
695,17931,DATA,L,1,-0.07,-0.01,0,,,,,,,,,,,,,,,,,
695,17949,DATA,R,0.97,-0.11,0.02,-0.21,,,,,,,,,,,,,,,,,
695,17971,DATA,L,1,-0.07,-0.01,0.01,,,,,,,,,,,,,,,,,
695,17988,DATA,R,0.97,-0.11,0.02,-0.21,,,,,,,,,,,,,,,,,
695,18011,DATA,L,1,-0.07,-0.01,0.01,,,,,,,,,,,,,,,,,
695,18027,DATA,R,0.97,-0.11,0.02,-0.21,,,,,,,,,,,,,,,,,
695,18051,DATA,L,1,-0.07,-0.01,0.01,,,,,,,,,,,,,,,,,
695,18067,DATA,R,0.97,-0.11,0.02,-0.21,,,,,,,,,,,,,,,,,
695,18091,DATA,L,1,-0.08,-0.01,0.01,,,,,,,,,,,,,,,,,
695,18107,DATA,R,0.97,-0.11,0.02,-0.21,,,,,,,,,,,,,,,,,
695,18131,DATA,L,1,-0.08,-0.01,0,,,,,,,,,,,,,,,,,
695,18147,DATA,R,0.97,-0.11,0.02,-0.21,,,,,,,,,,,,,,,,,
695,18171,DATA,L,1,-0.08,-0.01,0,,,,,,,,,,,,,,,,,
695,18187,DATA,R,0.97,-0.11,0.02,-0.21,,,,,,,,,,,,,,,,,
695,18211,DATA,L,1,-0.08,-0.01,0,,,,,,,,,,,,,,,,,
695,18227,DATA,R,0.97,-0.11,0.02,-0.21,,,,,,,,,,,,,,,,,
695,18251,DATA,L,1,-0.08,-0.02,0,,,,,,,,,,,,,,,,,
695,18267,DATA,R,0.97,-0.11,0.02,-0.22,,,,,,,,,,,,,,,,,
695,18291,DATA,L,1,-0.08,-0.02,0,,,,,,,,,,,,,,,,,
695,18307,DATA,R,0.97,-0.11,0.02,-0.22,,,,,,,,,,,,,,,,,
695,18331,DATA,L,1,-0.08,-0.02,0,,,,,,,,,,,,,,,,,
695,18347,DATA,R,0.97,-0.11,0.02,-0.22,,,,,,,,,,,,,,,,,
695,18371,DATA,L,1,-0.08,-0.02,0,,,,,,,,,,,,,,,,,
695,18387,DATA,R,0.97,-0.11,0.02,-0.22,,,,,,,,,,,,,,,,,
695,18411,DATA,L,1,-0.08,-0.02,0,,,,,,,,,,,,,,,,,
695,18427,DATA,R,0.97,-0.11,0.02,-0.22,,,,,,,,,,,,,,,,,
695,18451,DATA,L,1,-0.08,-0.02,0,,,,,,,,,,,,,,,,,
695,18467,DATA,R,0.97,-0.11,0.02,-0.22,,,,,,,,,,,,,,,,,
695,18491,DATA,L,1,-0.08,-0.02,0,,,,,,,,,,,,,,,,,
695,18507,DATA,R,0.97,-0.11,0.02,-0.22,,,,,,,,,,,,,,,,,
695,18531,DATA,L,1,-0.08,-0.02,0,,,,,,,,,,,,,,,,,
695,18547,DATA,R,0.97,-0.11,0.02,-0.22,,,,,,,,,,,,,,,,,
695,18571,DATA,L,1,-0.08,-0.02,-0.01,,,,,,,,,,,,,,,,,
695,18587,DATA,R,0.97,-0.11,0.02,-0.22,,,,,,,,,,,,,,,,,
